neg_log_10_p_val,var,CHR,Position,Gene,alias,Kegg_Pathway
2.614,cg11541433,5,36067343,ENSG00000168671,UGT3A2,nan
2.57,cg21585289,5,36073937,ENSG00000168671,UGT3A2,nan
2.269,cg22797610,5,36444321,-,,nan
2.761,cg20646491,5,36608769,ENSG00000079215,SLC1A3,Glutamatergic synapse
2.231,cg07423205,5,37834672,ENSG00000168621,GDNF,nan
2.271,cg18725867,5,37834958,ENSG00000168621,GDNF,nan
2.728,cg03266646,5,37834999,ENSG00000168621,GDNF,nan
2.374,cg24497954,5,39210223,ENSG00000082074,FYB,Rap1 signaling pathway
3.071,cg21099332,5,39270715,ENSG00000082074,FYB,Rap1 signaling pathway
3.211,cg05006071,5,40680983,ENSG00000171522,PTGER4,Pathways in cancer;Renin secretion;Inflammatory mediator regulation of TRP channels;Neuroactive ligand-receptor interaction
3.187,cg06467775,5,41012544,ENSG00000171495,MROH2B,nan
2.693,cg08370178,5,43034043,ENSG00000177738,LOC648987,nan
2.33,cg16968493,5,43363032,-,,nan
3.298,cg09970316,5,52003914,ENSG00000248898,ENSG00000248898,nan
3.185,cg10599735,5,52096100,ENSG00000152684,PELO,mRNA surveillance pathway
2.424,cg23092782,5,52188183,ENSG00000213949,ITGA1,Dilated cardiomyopathy;Arrhythmogenic right ventricular cardiomyopathy (ARVC);Hypertrophic cardiomyopathy (HCM);Regulation of actin cytoskeleton;Hematopoietic cell lineage;ECM-receptor interaction;Focal adhesion;PI3K-Akt signaling pathway
2.375,cg02107069,5,52281282,ENSG00000164171,ITGA2,Dilated cardiomyopathy;Arrhythmogenic right ventricular cardiomyopathy (ARVC);Hypertrophic cardiomyopathy (HCM);Small cell lung cancer;Proteoglycans in cancer;Pathways in cancer;Regulation of actin cytoskeleton;Hematopoietic cell lineage;Platelet activation;ECM-receptor interaction;Focal adhesion;PI3K-Akt signaling pathway;Phagosome
2.259,cg16844443,5,52286686,ENSG00000164171,ITGA2,Dilated cardiomyopathy;Arrhythmogenic right ventricular cardiomyopathy (ARVC);Hypertrophic cardiomyopathy (HCM);Small cell lung cancer;Proteoglycans in cancer;Pathways in cancer;Regulation of actin cytoskeleton;Hematopoietic cell lineage;Platelet activation;ECM-receptor interaction;Focal adhesion;PI3K-Akt signaling pathway;Phagosome
2.312,cg02034517,5,52332217,ENSG00000164171,ITGA2,Dilated cardiomyopathy;Arrhythmogenic right ventricular cardiomyopathy (ARVC);Hypertrophic cardiomyopathy (HCM);Small cell lung cancer;Proteoglycans in cancer;Pathways in cancer;Regulation of actin cytoskeleton;Hematopoietic cell lineage;Platelet activation;ECM-receptor interaction;Focal adhesion;PI3K-Akt signaling pathway;Phagosome
2.349,cg17480554,5,52334107,ENSG00000164171,ITGA2,Dilated cardiomyopathy;Arrhythmogenic right ventricular cardiomyopathy (ARVC);Hypertrophic cardiomyopathy (HCM);Small cell lung cancer;Proteoglycans in cancer;Pathways in cancer;Regulation of actin cytoskeleton;Hematopoietic cell lineage;Platelet activation;ECM-receptor interaction;Focal adhesion;PI3K-Akt signaling pathway;Phagosome
2.653,cg23530463,5,52619600,-,,nan
2.233,cg18899355,5,52773135,ENSG00000134363,FST,TGF-beta signaling pathway
3.703,cg03313290,5,53448485,ENSG00000185305,ARL15,nan
2.502,cg24048437,5,53656287,ENSG00000249069,LINC01033,nan
2.539,cg09568647,5,53942237,-,,nan
2.687,cg04977784,5,53972541,-,,nan
2.487,cg05251334,5,54015478,-,,nan
3.24,cg19844283,5,54448226,ENSG00000164287,CDC20B,nan
3.207,cg13306522,5,54519594,ENSG00000234602,MCIDAS,nan
2.292,cg17890705,5,54878170,-,,nan
3.325,cg16501561,5,55460876,ENSG00000164512,ANKRD55,nan
2.25,cg11533740,5,55548290,-,,nan
2.635,cg17036855,5,55705369,-,,nan
2.719,cg22625918,5,57021011,-,,nan
2.272,cg13936088,5,57418815,ENSG00000248132,ENSG00000248132,nan
2.458,cg23832364,5,57699880,-,,nan
3.296,cg12491659,5,57786356,ENSG00000175857,GAPT,nan
3.084,cg16377679,5,58388744,ENSG00000113448,PDE4D,Morphine addiction;cAMP signaling pathway;Purine metabolism
2.702,cg09712066,5,59783629,ENSG00000113448,PDE4D,Morphine addiction;cAMP signaling pathway;Purine metabolism
2.327,cg13152606,5,59783910,ENSG00000113448,PDE4D,Morphine addiction;cAMP signaling pathway;Purine metabolism
2.936,cg19025916,5,60471149,ENSG00000251279,ENSG00000251279,nan
2.387,cg18656647,5,60594509,-,,nan
4.244,cg27132966,5,60625532,ENSG00000130449,ZSWIM6,nan
2.479,cg06872436,5,61040674,ENSG00000178722,C5ORF64,nan
2.388,cg25557639,5,61564066,-,,nan
3.078,cg13846924,5,63370672,-,,nan
2.336,cg19094366,5,63942107,-,,nan
2.411,cg26965476,5,65794530,-,,nan
2.81,cg19220206,5,65880875,-,,nan
2.225,cg13811092,5,66010095,ENSG00000069020,MAST4,nan
2.621,cg25605120,5,66511837,-,,nan
2.527,cg24345884,5,66790144,ENSG00000249364,LOC101928858,nan
2.751,cg06695980,5,67105444,ENSG00000249364,LOC101928858,nan
2.99,cg24813790,5,67588319,ENSG00000145675,PIK3R1,Fluid shear stress and atherosclerosis;Choline metabolism in cancer;Central carbon metabolism in cancer;Breast cancer;Non-small cell lung cancer;Small cell lung cancer;Acute myeloid leukemia;Chronic myeloid leukemia;Melanoma;Prostate cancer;Glioma;Endometrial cancer;Pancreatic cancer;Renal cell carcinoma;Colorectal cancer;Proteoglycans in cancer;Viral carcinogenesis;Pathways in cancer;Epstein-Barr virus infection;HTLV-I infection;Influenza A;Measles;Hepatitis B;Hepatitis C;Amoebiasis;Chagas disease (American trypanosomiasis);Bacterial invasion of epithelial cells;Carbohydrate digestion and absorption;Aldosterone-regulated sodium reabsorption;AGE-RAGE signaling pathway in diabetic complications;Non-alcoholic fatty liver disease (NAFLD);Insulin resistance;Type II diabetes mellitus;Regulation of lipolysis in adipocytes;Thyroid hormone signaling pathway;Prolactin signaling pathway;Estrogen signaling pathway;Progesterone-mediated oocyte maturation;Insulin signaling pathway;Regulation of actin cytoskeleton;Inflammatory mediator regulation of TRP channels;Cholinergic synapse;Neurotrophin signaling pathway;Leukocyte transendothelial migration;TNF signaling pathway;Fc gamma R-mediated phagocytosis;Fc epsilon RI signaling pathway;B cell receptor signaling pathway;T cell receptor signaling pathway;Natural killer cell mediated cytotoxicity;Jak-STAT signaling pathway;Toll-like receptor signaling pathway;Platelet activation;Signaling pathways regulating pluripotency of stem cells;Focal adhesion;Osteoclast differentiation;VEGF signaling pathway;Axon guidance;Longevity regulating pathway - multiple species;Longevity regulating pathway;Apoptosis;AMPK signaling pathway;PI3K-Akt signaling pathway;mTOR signaling pathway;Autophagy - animal;Phospholipase D signaling pathway;Sphingolipid signaling pathway;Phosphatidylinositol signaling system;FoxO signaling pathway;HIF-1 signaling pathway;Chemokine signaling pathway;cAMP signaling pathway;Rap1 signaling pathway;Ras signaling pathway;ErbB signaling pathway;Platinum drug resistance;Endocrine resistance;EGFR tyrosine kinase inhibitor resistance
2.254,cg09351871,5,67755195,-,,nan
3.007,cg01259036,5,67778248,-,,nan
3.447,cg16153168,5,68114337,-,,nan
3.472,cg03460098,5,68339715,ENSG00000250237,ENSG00000250237,nan
2.626,cg19356322,5,68534736,ENSG00000134058,ENSG00000134058,nan
2.296,cg14449803,5,68788044,ENSG00000197822,ENSG00000197822,nan
2.243,cg11988985,5,70320693,ENSG00000249437,ENSG00000249437,nan
2.352,cg11018604,5,71507163,ENSG00000131711,MAP1B,nan
2.787,cg08577042,5,71535383,ENSG00000113048,MRPS27,Systemic lupus erythematosus;Viral carcinogenesis;Alcoholism
2.597,cg19418409,5,71644924,ENSG00000049883,PTCD2,nan
2.414,cg27147356,5,71688510,-,,nan
3.256,cg01986432,5,72236054,-,,nan
3.125,cg15931168,5,72528678,ENSG00000249743,ENSG00000249743,nan
2.598,cg16506426,5,72593048,ENSG00000249743,ENSG00000249743,nan
2.936,cg11755682,5,72959715,ENSG00000214944,ARHGEF28,nan
2.233,cg03710870,5,73124023,ENSG00000214944,ARHGEF28,nan
2.84,cg09423378,5,73208988,ENSG00000214944,ARHGEF28,nan
2.263,cg03605420,5,74162809,ENSG00000198780,FAM169A,nan
2.862,cg23524474,5,74212788,ENSG00000249856,ENSG00000249856,nan
2.547,cg23674615,5,74637028,ENSG00000113161,HMGCR,Bile secretion;AMPK signaling pathway;Metabolic pathways;Terpenoid backbone biosynthesis
2.314,cg26621088,5,74965039,ENSG00000152359,POC5,nan
2.371,cg24120753,5,75472143,ENSG00000122012,SV2C,ECM-receptor interaction
2.632,cg27047494,5,75621618,ENSG00000122012,SV2C,ECM-receptor interaction
2.295,cg10198943,5,75668478,ENSG00000251235,ENSG00000251235,nan
2.556,cg03745409,5,75668979,ENSG00000251235,ENSG00000251235,nan
2.87,cg01201140,5,75765864,ENSG00000145703,IQGAP2,Regulation of actin cytoskeleton
2.278,cg19735421,5,76010598,ENSG00000181104,F2R,Pathways in cancer;Regulation of actin cytoskeleton;Platelet activation;Complement and coagulation cascades;PI3K-Akt signaling pathway;Endocytosis;Neuroactive ligand-receptor interaction;Phospholipase D signaling pathway;cAMP signaling pathway;Calcium signaling pathway;Rap1 signaling pathway
2.597,cg23745288,5,76145429,ENSG00000171643,S100Z,Autophagy - animal
2.677,cg27299852,5,76397444,ENSG00000250802,ENSG00000250802,nan
2.224,cg03239328,5,76441964,ENSG00000251566,ENSG00000251566,nan
2.82,cg17410825,5,76451461,ENSG00000250802,ENSG00000250802,nan
2.411,cg23942789,5,76505840,ENSG00000113231,PDE8B,Morphine addiction;Purine metabolism
2.382,cg17374364,5,76929064,ENSG00000171540,OTP,nan
2.412,cg03237049,5,77175909,-,,nan
2.64,cg05937292,5,77269342,-,,nan
2.398,cg02642549,5,77805886,ENSG00000145685,LHFPL2,nan
2.751,cg24917641,5,77961760,ENSG00000145685,LHFPL2,nan
2.373,cg14599823,5,77973731,ENSG00000145685,LHFPL2,nan
2.393,cg04476846,5,78791415,ENSG00000152413,HOMER1,Glutamatergic synapse;FoxO signaling pathway
2.726,cg09481121,5,78985425,ENSG00000164329,PAPD4,nan
2.327,cg15612517,5,80032595,ENSG00000113318,MSH3,Colorectal cancer;Pathways in cancer;Mismatch repair;Platinum drug resistance
2.437,cg13176948,5,80254000,ENSG00000113319,RASGRF2,Ras signaling pathway;MAPK signaling pathway
2.304,cg26422132,5,80927102,ENSG00000145687,SSBP2,nan
2.351,cg01899624,5,81082946,-,,nan
2.594,cg26731058,5,81204782,-,,nan
2.317,cg06772268,5,81342312,ENSG00000152348,ATG10,Autophagy - animal
2.538,cg07736135,5,81603579,ENSG00000205464,ATP6AP1L,nan
2.519,cg09796935,5,82226707,-,,nan
2.298,cg11141219,5,82338620,-,,nan
2.228,cg19483663,5,82376472,ENSG00000152422,XRCC4,Non-homologous end-joining
3.085,cg14181364,5,82518915,ENSG00000152422,XRCC4,Non-homologous end-joining
2.712,cg18181545,5,83674269,ENSG00000164176,EDIL3,nan
2.802,cg23451423,5,85633905,ENSG00000248195,ENSG00000248195,nan
2.604,cg26924312,5,86525880,ENSG00000233828,ENSG00000233828,nan
2.283,cg16522719,5,86636497,ENSG00000145715,RASA1,Axon guidance;Ras signaling pathway;MAPK signaling pathway
2.557,cg16169833,5,87083582,-,,nan
2.234,cg12531206,5,87734085,ENSG00000247828,TMEM161B-AS1,nan
2.317,cg01358993,5,87968315,ENSG00000245526,LINC00461,MicroRNAs in cancer
2.879,cg20860265,5,88082175,ENSG00000081189,MEF2C,Fluid shear stress and atherosclerosis;Transcriptional misregulation in cancer;Oxytocin signaling pathway;Apelin signaling pathway;cGMP-PKG signaling pathway;MAPK signaling pathway
2.323,cg05107468,5,88120210,ENSG00000081189,MEF2C,Fluid shear stress and atherosclerosis;Transcriptional misregulation in cancer;Oxytocin signaling pathway;Apelin signaling pathway;cGMP-PKG signaling pathway;MAPK signaling pathway
2.584,cg26872299,5,88639744,ENSG00000248309,MEF2C-AS1,nan
2.461,cg06268283,5,89024910,-,,nan
3.366,cg10669597,5,89771460,ENSG00000176055,MBLAC2,nan
2.475,cg05425144,5,90653147,ENSG00000241059,ENSG00000241059,nan
2.25,cg01833689,5,91976944,ENSG00000249776,ENSG00000249776,nan
2.698,cg04099221,5,92094422,-,,nan
2.41,cg11628055,5,92572688,-,,nan
2.413,cg26921969,5,92948217,-,,nan
2.233,cg16490906,5,93712596,ENSG00000185261,KIAA0825,nan
2.308,cg19593009,5,93721323,ENSG00000185261,KIAA0825,nan
2.602,cg03304472,5,94726091,ENSG00000153347,FAM81B,nan
2.433,cg24276672,5,94878980,ENSG00000198677,TTC37,RNA degradation
2.516,cg20385489,5,95069104,ENSG00000164292,RHOBTB3,nan
2.855,cg22689909,5,95159365,ENSG00000173221,GLRX,nan
2.503,cg12342488,5,95178992,ENSG00000251409,ENSG00000251409,nan
2.668,cg06277666,5,95251927,ENSG00000118985,ELL2,nan
2.221,cg01369611,5,95362282,ENSG00000251314,LOC101929710,nan
2.532,cg21396536,5,95429329,ENSG00000251314,LOC101929710,nan
2.929,cg12866104,5,96042628,ENSG00000153113,CAST,nan
2.233,cg08175413,5,96294187,ENSG00000113441,LNPEP,Renin-angiotensin system
3.214,cg10838976,5,98091289,-,,nan
2.376,cg25894234,5,100082689,-,,nan
2.461,cg00096106,5,100176809,ENSG00000113532,ST8SIA4,nan
2.298,cg15576436,5,100754518,-,,nan
2.266,cg23278018,5,102682153,-,,nan
2.85,cg07826197,5,104313486,ENSG00000251574,ENSG00000251574,nan
2.293,cg05976693,5,105937665,-,,nan
2.306,cg18290639,5,106741019,ENSG00000184349,EFNA5,Axon guidance;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway
2.561,cg04235624,5,106790815,ENSG00000184349,EFNA5,Axon guidance;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway
3.102,cg18089596,5,106801834,ENSG00000184349,EFNA5,Axon guidance;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway
3.16,cg18294631,5,107223480,ENSG00000145743,FBXL17,nan
2.267,cg02459827,5,108082637,ENSG00000151422,FER,Adherens junction
2.561,cg12572751,5,108082778,ENSG00000151422,FER,Adherens junction
3.471,cg19526267,5,108208768,ENSG00000151422,FER,Adherens junction
2.7,cg16028549,5,108350979,ENSG00000151422,FER,Adherens junction
2.823,cg19640250,5,110139868,-,,nan
2.325,cg07073803,5,110796953,ENSG00000152495,CAMK4,Alcoholism;Amphetamine addiction;Aldosterone synthesis and secretion;Oxytocin signaling pathway;Cholinergic synapse;Neurotrophin signaling pathway;Long-term potentiation;Osteoclast differentiation;Apelin signaling pathway;Longevity regulating pathway;cAMP signaling pathway;Calcium signaling pathway
2.226,cg25508181,5,110971507,ENSG00000246859,STARD4-AS1,nan
2.284,cg21081729,5,112539140,ENSG00000171444,MCC,nan
2.97,cg10634669,5,112558638,ENSG00000171444,MCC,nan
2.437,cg01359340,5,112850506,ENSG00000047188,YTHDC2,nan
2.629,cg18575989,5,112860820,ENSG00000047188,YTHDC2,nan
2.907,cg27588515,5,115167455,ENSG00000145782,ATG12,RIG-I-like receptor signaling pathway;NOD-like receptor signaling pathway;Autophagy - animal;FoxO signaling pathway
2.667,cg05931423,5,115697214,ENSG00000145781,COMMD10,nan
2.423,cg11312495,5,115697370,ENSG00000145781,COMMD10,nan
2.331,cg14720024,5,115697696,ENSG00000145781,COMMD10,nan
3.002,cg07531174,5,115776510,ENSG00000092421,SEMA6A,Axon guidance
2.567,cg01550393,5,117224492,-,,nan
2.505,cg16596064,5,118406936,ENSG00000172869,DMXL1,nan
2.236,cg00774089,5,118676727,ENSG00000145779,TNFAIP8,nan
2.425,cg07619537,5,119343524,-,,nan
3.694,cg05168468,5,119799531,ENSG00000184838,PRR16,nan
2.451,cg27404480,5,121398019,ENSG00000113083,LOX,nan
2.308,cg14122403,5,121499498,ENSG00000250803,ENSG00000250803,nan
2.987,cg01419136,5,121920864,-,,nan
2.28,cg19835796,5,123637793,ENSG00000253807,ENSG00000253807,nan
2.321,cg13172369,5,124036936,ENSG00000168916,ZNF608,nan
2.535,cg06055229,5,124077966,ENSG00000168916,ZNF608,nan
2.332,cg16351766,5,124205853,ENSG00000249261,ENSG00000249261,nan
3.126,cg27294249,5,124827859,ENSG00000260192,LINC02240,nan
2.761,cg18211686,5,125929591,ENSG00000164904,ALDH7A1,"Biosynthesis of amino acids;Metabolic pathways;Pyruvate metabolism;Glycerolipid metabolism;beta-Alanine metabolism;Tryptophan metabolism;Histidine metabolism;Arginine and proline metabolism;Lysine degradation;Lysine biosynthesis;Valine, leucine and isoleucine degradation;Glycine, serine and threonine metabolism;Fatty acid degradation;Ascorbate and aldarate metabolism;Glycolysis / Gluconeogenesis"
2.263,cg01429387,5,126094467,ENSG00000251072,LOC102723557,nan
2.261,cg06031000,5,127535098,-,,nan
3.272,cg04216073,5,127878868,ENSG00000138829,FBN2,nan
2.543,cg04778564,5,128399704,-,,nan
2.258,cg12837781,5,130861663,ENSG00000158987,RAPGEF6,Tight junction;Rap1 signaling pathway
3.709,cg11958644,5,130872422,ENSG00000158987,RAPGEF6,Tight junction;Rap1 signaling pathway
2.444,cg05209330,5,131550942,ENSG00000072682,P4HA2,Metabolic pathways;Arginine and proline metabolism
3.129,cg09830083,5,131561058,ENSG00000072682,P4HA2,Metabolic pathways;Arginine and proline metabolism
2.326,cg14151197,5,131561482,ENSG00000072682,P4HA2,Metabolic pathways;Arginine and proline metabolism
2.724,cg01329434,5,131606393,ENSG00000131435,PDLIM4,nan
2.45,cg01312999,5,131730715,ENSG00000197375,SLC22A5,Choline metabolism in cancer
2.729,cg03688118,5,132072140,ENSG00000131437,KIF3A,Hedgehog signaling pathway
2.415,cg03146502,5,132111794,ENSG00000164402,8-Sep,Bacterial invasion of epithelial cells
2.433,cg12828656,5,132577108,ENSG00000053108,FSTL4,nan
2.287,cg21744390,5,132610338,ENSG00000053108,FSTL4,nan
2.8,cg10275726,5,132621543,ENSG00000053108,FSTL4,nan
2.852,cg26113988,5,132808760,ENSG00000053108,FSTL4,nan
2.855,cg01440916,5,133274140,-,,nan
4.089,cg15579522,5,133399300,-,,nan
2.386,cg08969102,5,133563532,ENSG00000113575,PPP2CA,Hepatitis C;Chagas disease (American trypanosomiasis);Long-term depression;Dopaminergic synapse;Tight junction;Hippo signaling pathway;TGF-beta signaling pathway;Adrenergic signaling in cardiomyocytes;AMPK signaling pathway;PI3K-Akt signaling pathway;Autophagy - animal;Oocyte meiosis;Sphingolipid signaling pathway;mRNA surveillance pathway
4.67,cg01503989,5,133842124,ENSG00000251169,LINC01843,nan
2.624,cg09029016,5,133861203,ENSG00000043143,JADE2,Ribosome biogenesis in eukaryotes
2.295,cg00582531,5,133867864,ENSG00000043143,JADE2,Ribosome biogenesis in eukaryotes
2.543,cg26359141,5,133872329,ENSG00000043143,JADE2,Ribosome biogenesis in eukaryotes
2.251,cg04937698,5,134238213,ENSG00000132570,PCBD2,nan
2.587,cg14288106,5,134447311,ENSG00000224186,ENSG00000224186,nan
2.504,cg15570457,5,134538585,ENSG00000224186,ENSG00000224186,nan
2.97,cg16603653,5,134566929,ENSG00000224186,ENSG00000224186,nan
2.359,cg20906976,5,134570560,ENSG00000224186,ENSG00000224186,nan
2.305,cg18362330,5,134872659,ENSG00000181965,NEUROG1,Signaling pathways regulating pluripotency of stem cells
2.545,cg02914029,5,135335485,-,,nan
2.438,cg19646504,5,135349880,-,,nan
3.083,cg10619318,5,135470751,ENSG00000164621,SMAD5-AS1,nan
2.441,cg07162551,5,135517069,ENSG00000113658,SMAD5,Signaling pathways regulating pluripotency of stem cells;TGF-beta signaling pathway
2.444,cg13145900,5,135732771,ENSG00000069018,TRPC7,nan
2.231,cg00698382,5,135967137,-,,nan
2.231,cg03006426,5,136826890,ENSG00000152377,SPOCK1,nan
2.451,cg21005673,5,136949402,ENSG00000146021,KLHL3,nan
2.657,cg14416451,5,137475065,ENSG00000112983,BRD8,nan
2.715,cg22509422,5,137797039,ENSG00000120738,EGR1,HTLV-I infection;Prion diseases;AGE-RAGE signaling pathway in diabetic complications;Apelin signaling pathway
2.559,cg26665670,5,137958778,ENSG00000238745,ENSG00000238745,nan
2.476,cg18341492,5,138205665,ENSG00000146006,LRRTM2,nan
2.308,cg26015374,5,138205900,ENSG00000146006,LRRTM2,nan
2.668,cg09997124,5,138436681,ENSG00000120725,SIL1,Protein processing in endoplasmic reticulum
2.26,cg05487895,5,139080952,ENSG00000249526,ENSG00000249526,nan
2.648,cg15168577,5,139138880,-,,nan
2.515,cg01903654,5,139225955,ENSG00000146005,PSD2,Endocytosis
2.932,cg05454595,5,139243335,ENSG00000158458,NRG2,ErbB signaling pathway;EGFR tyrosine kinase inhibitor resistance
2.508,cg01913585,5,139290970,ENSG00000158458,NRG2,ErbB signaling pathway;EGFR tyrosine kinase inhibitor resistance
2.236,cg09364402,5,139292062,ENSG00000158458,NRG2,ErbB signaling pathway;EGFR tyrosine kinase inhibitor resistance
2.561,cg08233605,5,139385566,ENSG00000158458,NRG2,ErbB signaling pathway;EGFR tyrosine kinase inhibitor resistance
3.013,cg14930379,5,139570338,ENSG00000120306,CYSTM1,nan
2.302,cg02646073,5,139619584,ENSG00000120306,CYSTM1,nan
3.881,cg20920104,5,139860062,ENSG00000131503,ANKHD1,Olfactory transduction
2.274,cg06520369,5,139938342,ENSG00000213523,SRA1,nan
2.441,cg21557146,5,140503914,ENSG00000081818,PCDHB4,nan
2.306,cg04845915,5,140802804,ENSG00000254245,PCDHGA3,nan
2.526,cg22868102,5,141549305,-,,nan
3.078,cg12111351,5,141566989,-,,nan
2.246,cg18822951,5,141783822,ENSG00000231185,LOC101926941,nan
2.309,cg04478875,5,142023774,ENSG00000113578,FGF1,Breast cancer;Melanoma;Pathways in cancer;Regulation of actin cytoskeleton;Hippo signaling pathway;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway;MAPK signaling pathway
2.421,cg19933220,5,142024805,ENSG00000113578,FGF1,Breast cancer;Melanoma;Pathways in cancer;Regulation of actin cytoskeleton;Hippo signaling pathway;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway;MAPK signaling pathway
2.601,cg13732420,5,142034728,ENSG00000113578,FGF1,Breast cancer;Melanoma;Pathways in cancer;Regulation of actin cytoskeleton;Hippo signaling pathway;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway;MAPK signaling pathway
2.718,cg06399118,5,142066048,ENSG00000113578,FGF1,Breast cancer;Melanoma;Pathways in cancer;Regulation of actin cytoskeleton;Hippo signaling pathway;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway;MAPK signaling pathway
2.777,cg07247133,5,142066658,ENSG00000113578,FGF1,Breast cancer;Melanoma;Pathways in cancer;Regulation of actin cytoskeleton;Hippo signaling pathway;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway;MAPK signaling pathway
2.452,cg17747553,5,142070308,ENSG00000113578,FGF1,Breast cancer;Melanoma;Pathways in cancer;Regulation of actin cytoskeleton;Hippo signaling pathway;PI3K-Akt signaling pathway;Rap1 signaling pathway;Ras signaling pathway;MAPK signaling pathway
2.855,cg25499841,5,142295942,ENSG00000145819,ARHGAP26,nan
2.234,cg10900141,5,142441337,ENSG00000145819,ARHGAP26,nan
2.28,cg03145360,5,142522851,ENSG00000145819,ARHGAP26,nan
2.431,cg05593678,5,142556911,ENSG00000145819,ARHGAP26,nan
2.389,cg19705457,5,142985018,ENSG00000249881,ENSG00000249881,nan
2.288,cg27405526,5,143472258,-,,nan
2.256,cg26749572,5,145227551,-,,nan
2.675,cg04655243,5,145406206,ENSG00000156463,SH3RF2,nan
3.065,cg08788990,5,146568193,ENSG00000250343,ENSG00000250343,nan
2.237,cg19811076,5,146938282,-,,nan
2.256,cg07980280,5,147022971,ENSG00000176049,JAKMIP2,nan
2.494,cg08459862,5,148174584,-,,nan
2.378,cg22825646,5,148329776,ENSG00000169247,SH3TC2,nan
2.321,cg03279381,5,148433140,ENSG00000169247,SH3TC2,nan
2.251,cg11794015,5,148676137,ENSG00000157510,AFAP1L1,nan
2.487,cg26402405,5,148693811,ENSG00000157510,AFAP1L1,nan
2.492,cg15299465,5,148985074,ENSG00000183111,ARHGEF37,nan
2.255,cg10230957,5,149112344,ENSG00000155846,PPARGC1B,Insulin resistance
2.732,cg10521603,5,149293098,ENSG00000132915,PDE6A,Phototransduction;Purine metabolism
2.37,cg05913238,5,149379133,ENSG00000164296,TIGD6,nan
2.669,cg25613180,5,149513303,ENSG00000113721,PDGFRB,Choline metabolism in cancer;Central carbon metabolism in cancer;Melanoma;Prostate cancer;Glioma;MicroRNAs in cancer;Pathways in cancer;HTLV-I infection;Regulation of actin cytoskeleton;Gap junction;Focal adhesion;PI3K-Akt signaling pathway;Phospholipase D signaling pathway;Cytokine-cytokine receptor interaction;Calcium signaling pathway;Rap1 signaling pathway;Ras signaling pathway;MAPK signaling pathway;EGFR tyrosine kinase inhibitor resistance
2.272,cg25272902,5,149668535,ENSG00000070808,CAMK2A,Glioma;Proteoglycans in cancer;Tuberculosis;Amphetamine addiction;Gastric acid secretion;Aldosterone synthesis and secretion;Glucagon signaling pathway;Oxytocin signaling pathway;Melanogenesis;GnRH signaling pathway;Insulin secretion;Inflammatory mediator regulation of TRP channels;Olfactory transduction;Dopaminergic synapse;Cholinergic synapse;Neurotrophin signaling pathway;Long-term potentiation;Circadian entrainment;Axon guidance;Wnt signaling pathway;Adrenergic signaling in cardiomyocytes;Oocyte meiosis;HIF-1 signaling pathway;cAMP signaling pathway;Calcium signaling pathway;ErbB signaling pathway
2.27,cg14264641,5,149701655,ENSG00000183876,ARSI,nan
2.224,cg18866825,5,150477744,ENSG00000197043,ANXA6,nan
4.118,cg18111265,5,150505189,ENSG00000197043,ANXA6,nan
2.323,cg11818644,5,150883985,ENSG00000086570,FAT2,nan
3.515,cg19318253,5,150903132,ENSG00000086570,FAT2,nan
2.411,cg05789318,5,150960770,-,,nan
5.113,cg26389330,5,151057860,ENSG00000113140,SPARC,nan
2.619,cg14248704,5,151470842,ENSG00000254226,LINC01933,nan
2.716,cg17587481,5,152603672,ENSG00000249484,LINC01470,nan
2.486,cg20957370,5,153338888,-,,nan
2.988,cg24697911,5,153454971,ENSG00000037749,MFAP3,nan
3.206,cg13072597,5,153845948,-,,nan
2.742,cg13689073,5,154093260,ENSG00000155506,LARP1,nan
2.586,cg20996897,5,154190756,ENSG00000155506,LARP1,nan
2.494,cg18413427,5,155596227,ENSG00000170624,SGCD,Viral myocarditis;Dilated cardiomyopathy;Arrhythmogenic right ventricular cardiomyopathy (ARVC);Hypertrophic cardiomyopathy (HCM)
2.335,cg18159097,5,156403091,-,,nan
2.42,cg13786938,5,156594465,ENSG00000170613,FAM71B,nan
2.301,cg20246424,5,156672708,ENSG00000113263,ITK,Leukocyte transendothelial migration;T cell receptor signaling pathway;Chemokine signaling pathway
3.879,cg11361201,5,156690796,ENSG00000055163,CYFIP2,Regulation of actin cytoskeleton;RNA transport
2.287,cg13332123,5,156772761,ENSG00000172568,FNDC9,nan
2.559,cg12606933,5,157078573,ENSG00000039600,SOX30,nan
2.3,cg17226349,5,157342933,-,,nan
2.661,cg07954849,5,157651397,ENSG00000253449,ENSG00000253449,nan
2.504,cg01308202,5,157996684,-,,nan
2.727,cg26558914,5,158143751,ENSG00000164330,EBF1,nan
2.893,cg25142010,5,158150180,ENSG00000164330,EBF1,nan
2.525,cg21978593,5,158242820,ENSG00000164330,EBF1,nan
2.769,cg06030535,5,158637684,ENSG00000145860,RNF145,nan
